name,t90,t90_error,t50,t50_error,flux_64,flux_64_error,dec,error_radius,relative_peak_time,relative_peak_time_error,t50_t90,t50_t90_error,cut_t90,cut_peak_time,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB260208634,19.456,3.083,5.376,0.81,6.7104,1.4244,-49.17,2.34,0.07894736842105264,0.012510009089335182,0.27631578947368424,0.060418423102194155,False,True,True,True,False,False
GRB230517462,23.296,1.28,10.752,0.724,13.3874,1.3934,-49.12,1.6099999999999999,0.17582417582417584,0.009660669001328342,0.46153846153846156,0.040111748869481406,False,True,True,False,False,False
GRB260112226,43.584,2.218,20.224,2.292,5.8475,1.9141,-48.53,7.98,0.10132158590308368,0.005156279311973191,0.46402349486049926,0.057646702942037234,False,True,True,True,False,False
GRB251002844,25.601,15.874,5.12,0.362,12.1764,1.1106,-5.5440000000000005,0.0663,0.12999492207335653,0.08060385895052778,0.19999218780516387,0.1248095109674637,False,True,True,False,True,False
GRB250919020,129.283,0.923,7.424,0.362,195.674,3.2728,-48.8377,0.0007,0.07128547450167463,0.0005089338348046201,0.057424410015237896,0.002829913121701632,False,True,False,False,False,False
GRB240731597,11.264,0.801,1.792,0.362,8.3403,0.9057,-46.27,6.55,0.045454545454545456,0.0032323411673553723,0.15909090909090912,0.03407088972562352,False,True,True,True,False,False
GRB230503847,83.458,4.944,46.081,1.493,4.3966,1.3389,-48.74,2.88,0.20858395839823626,0.012356383933486067,0.5521459895995591,0.03728122097000017,False,True,True,True,False,False
GRB240215828,21.76,2.429,5.12,0.362,13.3509,1.5581,-48.74,2.54,0.29411764705882354,0.03283142301038062,0.23529411764705882,0.03109043213267535,False,False,True,False,False,False
GRB230918997,14.08,1.379,5.632,0.572,4.5455,1.0339,-48.44,6.35,0.19999999999999998,0.019588068181818182,0.39999999999999997,0.056437224288427144,False,True,True,True,False,False
GRB250716062,66.049,0.724,44.289,0.724,44.2016,2.9828,-48.56,1.0,0.04263501339914305,0.0004673462081330462,0.6705476237338945,0.013197799311549635,False,True,True,False,False,False
GRB231118720,5.76,0.572,2.176,0.143,30.1802,2.2723,-48.035,0.05,0.3777777777777778,0.037515432098765435,0.3777777777777778,0.04498618933427709,False,False,True,False,False,False
GRB260210760,37.889,2.29,27.137,1.145,4.9023,1.1417,-48.31,10.27,0.13513156852912453,0.008167312199627732,0.7162237060888385,0.05279318829569409,False,True,True,True,False,False
GRB220831664,2.816,1.379,1.792,0.572,5.6291,1.0716,-47.55,8.64,0.18181818181818182,0.08903667355371901,0.6363636363636365,0.37198386898428304,True,True,True,True,False,False
GRB230906538,1.024,0.143,0.256,0.091,67.9251,1.9419,-47.41,2.79,0.5,0.06982421875,0.25,0.09547896310272813,True,False,True,False,False,False
GRB230405832,4.288,0.143,1.152,0.091,36.6957,2.0998,-47.069,0.001,0.23880597014925373,0.00796391178436177,0.2686567164179104,0.023035728324161682,False,False,True,False,False,False
GRB250502308,5.632,0.979,1.856,0.264,8.861,1.1969,-47.34,11.99,0.10227272727272727,0.017777876420454544,0.3295454545454546,0.07401859927527911,False,True,True,True,False,False
